,loss,AUC,accuracy,val_loss,val_AUC,val_accuracy
0,0.4713939130306244,0.8051074147224426,0.7626470327377319,0.7053753137588501,0.8424829840660095,0.5899999737739563
1,0.4245474636554718,0.8484948873519897,0.7823529243469238,0.6962162256240845,0.8542327880859375,0.5350000262260437
2,0.3812098205089569,0.8617637157440186,0.8029412031173706,0.5668925642967224,0.8682069182395935,0.6949999928474426
3,0.3685985207557678,0.8733415603637695,0.8191176652908325,0.7795131206512451,0.8762993812561035,0.5600000023841858
4,0.33642062544822693,0.881010890007019,0.8338235020637512,1.1674913167953491,0.8828986287117004,0.5
5,0.33348679542541504,0.8851956725120544,0.8382353186607361,1.175055742263794,0.8871034979820251,0.5350000262260437
6,0.3101956844329834,0.8898398280143738,0.8502941131591797,0.8357313275337219,0.8925886154174805,0.574999988079071
7,0.2769976854324341,0.8960819840431213,0.875,0.6558571457862854,0.8993300199508667,0.6499999761581421
8,0.2573413848876953,0.9025570750236511,0.8805882334709167,0.6381403207778931,0.9057416915893555,0.7450000047683716
9,0.2537566125392914,0.9086658358573914,0.8838235139846802,0.9801252484321594,0.9104649424552917,0.5600000023841858
10,0.23934437334537506,0.9125460386276245,0.897352933883667,1.130160927772522,0.9144396185874939,0.6600000262260437
11,0.21851027011871338,0.9167953133583069,0.9038235545158386,0.9044590592384338,0.9186667799949646,0.6349999904632568
12,0.20506003499031067,0.9210674166679382,0.9150000214576721,0.4623994529247284,0.9230384826660156,0.7549999952316284
13,0.20619383454322815,0.9251012802124023,0.9135293960571289,0.49721503257751465,0.9268296360969543,0.7799999713897705
14,0.19151753187179565,0.9287676215171814,0.9185293912887573,0.4819108843803406,0.9304307103157043,0.7649999856948853
15,0.235972061753273,0.93196702003479,0.8997058868408203,0.9966652393341064,0.9321268200874329,0.5649999976158142
16,0.21018537878990173,0.9331727623939514,0.9102941155433655,0.5337851047515869,0.9342378973960876,0.7799999713897705
17,0.17734108865261078,0.9356746077537537,0.925000011920929,0.4553622901439667,0.9369503855705261,0.7749999761581421
18,0.15932323038578033,0.9384282231330872,0.9344117641448975,0.6089872717857361,0.9396449327468872,0.7649999856948853
19,0.15035732090473175,0.9409209489822388,0.9394117593765259,0.6386250853538513,0.9420653581619263,0.7599999904632568
20,0.1484668254852295,0.9431698322296143,0.9397059082984924,1.0871326923370361,0.9439212679862976,0.6100000143051147
21,0.13708949089050293,0.944923996925354,0.942058801651001,0.5183266997337341,0.9459567666053772,0.8149999976158142
22,0.11486528813838959,0.9472125172615051,0.9576470851898193,0.9530743360519409,0.9480833411216736,0.675000011920929
23,0.12558110058307648,0.9489254951477051,0.9467647075653076,0.5681483149528503,0.9498138427734375,0.7900000214576721
24,0.09757174551486969,0.9508898854255676,0.9626470804214478,0.7102269530296326,0.9517658352851868,0.7549999952316284
25,0.07415757328271866,0.9528636336326599,0.9691176414489746,1.194868564605713,0.9536935091018677,0.7099999785423279
26,0.08088202029466629,0.9545523524284363,0.9694117903709412,0.6700981259346008,0.955407440662384,0.7599999904632568
27,0.1027778685092926,0.9562335014343262,0.9652941226959229,0.5890421271324158,0.956920325756073,0.7450000047683716
28,0.0803772434592247,0.9577412009239197,0.9685294032096863,2.6862986087799072,0.9579076766967773,0.5299999713897705
29,0.0618782564997673,0.9584827423095703,0.9764705896377563,0.8409356474876404,0.9591510891914368,0.7250000238418579
30,0.04697297140955925,0.9599528908729553,0.981176495552063,1.9109920263290405,0.96019446849823,0.5049999952316284
31,0.06778760254383087,0.9605861902236938,0.9708823561668396,0.8124658465385437,0.9611793160438538,0.7599999904632568
32,0.06940121203660965,0.9618315696716309,0.9717646837234497,0.7701405882835388,0.9623309373855591,0.7549999952316284
33,0.05694897845387459,0.9629123210906982,0.9761765003204346,0.9335069060325623,0.9634844064712524,0.800000011920929
34,0.05262721702456474,0.9640829563140869,0.9791176319122314,0.8812996745109558,0.9645302891731262,0.7549999952316284
35,0.034814897924661636,0.9650976657867432,0.9876470565795898,0.8701123595237732,0.9656098484992981,0.7649999856948853
36,0.039837297052145004,0.9661403894424438,0.9841176271438599,0.7442149519920349,0.9666348695755005,0.8299999833106995
37,0.03688479959964752,0.9671711325645447,0.9879412055015564,2.3655059337615967,0.9673392176628113,0.5799999833106995
38,0.02115333266556263,0.9676828980445862,0.9923529624938965,1.3467777967453003,0.968098521232605,0.7350000143051147
39,0.040239088237285614,0.9684728980064392,0.9879412055015564,1.2722532749176025,0.9688090085983276,0.7250000238418579
40,0.0740414559841156,0.9691357016563416,0.9729411602020264,1.2052206993103027,0.9693092703819275,0.7049999833106995
41,0.029268892481923103,0.969703197479248,0.9900000095367432,0.7026704549789429,0.9701128005981445,0.7649999856948853
42,0.025481753051280975,0.9705410003662109,0.9911764860153198,1.0635979175567627,0.9708427786827087,0.7699999809265137
43,0.0789421945810318,0.9710562229156494,0.9676470756530762,0.7930862903594971,0.9712666273117065,0.75
44,0.02220885269343853,0.9716374278068542,0.9914705753326416,1.4635158777236938,0.9718860983848572,0.6850000023841858
45,0.0058541493490338326,0.9722163081169128,0.9991176724433899,1.0384862422943115,0.9725313782691956,0.7549999952316284
46,0.03349008038640022,0.9728448390960693,0.9867647290229797,1.6749274730682373,0.9729047417640686,0.5899999737739563
47,0.04256618395447731,0.9730297327041626,0.9861764907836914,1.1060986518859863,0.9732832908630371,0.7599999904632568
48,0.010467705316841602,0.9736003279685974,0.99647057056427,1.5109809637069702,0.9738261103630066,0.7200000286102295
49,0.022683169692754745,0.9740968942642212,0.9932352900505066,1.6148563623428345,0.974271833896637,0.6899999976158142
